Date,Symbol,OpenPrice,HighPrice,LowPrice,ClosePrice,High%,Low%,Close%,target_wrt_h&l%,stoploss_wrt_h&l%,profit_decider,Day,Month,Year
2016-09-20,TATAMOTORS,555.0,556.3,545.5,548.45,0.234,-1.712,-1.18,1.712,0.234,0.234,20,9,2016
2016-09-21,TATAMOTORS,548.6,556.4,544.0,549.9,1.422,-0.838,0.237,1.422,0.838,0.838,21,9,2016
2016-09-22,TATAMOTORS,561.2,562.95,551.35,558.45,0.312,-1.755,-0.49,1.755,0.312,0.312,22,9,2016
2016-09-27,TATAMOTORS,537.7,542.0,530.25,531.95,0.8,-1.386,-1.069,1.386,0.8,0.8,27,9,2016
2016-09-28,TATAMOTORS,533.0,545.4,531.5,540.0,2.326,-0.281,1.313,2.326,0.281,0.281,28,9,2016
2016-09-29,TATAMOTORS,543.0,546.9,516.65,526.3,0.718,-4.853,-3.076,4.853,0.718,0.718,29,9,2016
2016-09-30,TATAMOTORS,525.6,536.55,521.2,534.85,2.083,-0.837,1.76,2.083,0.837,0.837,30,9,2016
2016-10-03,TATAMOTORS,539.4,546.0,539.0,540.8,1.224,-0.074,0.26,1.224,0.074,0.074,3,10,2016
2016-10-04,TATAMOTORS,547.4,552.4,540.65,549.95,0.913,-1.233,0.466,1.233,0.913,0.913,4,10,2016
2016-10-05,TATAMOTORS,555.3,562.4,549.75,559.65,1.279,-0.999,0.783,1.279,0.999,0.999,5,10,2016
2016-10-06,TATAMOTORS,563.1,564.2,549.1,551.45,0.195,-2.486,-2.069,2.486,0.195,0.195,6,10,2016
2016-10-07,TATAMOTORS,554.5,567.3,552.6,565.7,2.308,-0.343,2.02,2.308,0.343,0.343,7,10,2016
2016-10-14,TATAMOTORS,546.0,557.45,545.0,556.1,2.097,-0.183,1.85,2.097,0.183,0.183,14,10,2016
2016-10-19,TATAMOTORS,552.05,554.9,545.05,550.5,0.516,-1.268,-0.281,1.268,0.516,0.516,19,10,2016
2016-10-20,TATAMOTORS,553.05,554.0,546.0,546.85,0.172,-1.275,-1.121,1.275,0.172,0.172,20,10,2016
2016-10-21,TATAMOTORS,549.0,550.0,541.5,544.5,0.182,-1.366,-0.82,1.366,0.182,0.182,21,10,2016
2016-10-24,TATAMOTORS,544.0,564.0,543.55,559.8,3.676,-0.083,2.904,3.676,0.083,0.083,24,10,2016
2016-10-25,TATAMOTORS,549.85,561.0,549.1,553.8,2.028,-0.136,0.718,2.028,0.136,0.136,25,10,2016
2016-10-27,TATAMOTORS,515.6,525.75,510.75,522.0,1.969,-0.941,1.241,1.969,0.941,0.941,27,10,2016
2016-10-28,TATAMOTORS,527.0,539.95,525.1,537.0,2.457,-0.361,1.898,2.457,0.361,0.361,28,10,2016
2016-11-01,TATAMOTORS,534.4,537.9,525.05,530.6,0.655,-1.75,-0.711,1.75,0.655,0.655,1,11,2016
2016-11-02,TATAMOTORS,522.6,526.0,512.35,513.3,0.651,-1.961,-1.78,1.961,0.651,0.651,2,11,2016
2016-11-03,TATAMOTORS,509.8,521.45,505.2,510.2,2.285,-0.902,0.078,2.285,0.902,0.902,3,11,2016
2016-11-04,TATAMOTORS,509.25,516.35,501.6,512.3,1.394,-1.502,0.599,1.502,1.394,1.394,4,11,2016
2016-11-07,TATAMOTORS,513.0,521.3,505.05,506.35,1.618,-1.55,-1.296,1.618,1.55,1.55,7,11,2016
2016-11-08,TATAMOTORS,518.4,543.0,517.0,540.2,4.745,-0.27,4.205,4.745,0.27,0.27,8,11,2016
2016-11-09,TATAMOTORS,501.15,544.0,500.0,533.5,8.55,-0.229,6.455,8.55,0.229,0.229,9,11,2016
2016-11-10,TATAMOTORS,536.0,549.35,531.5,533.7,2.491,-0.84,-0.429,2.491,0.84,0.84,10,11,2016
2016-11-11,TATAMOTORS,526.5,530.0,505.0,507.3,0.665,-4.084,-3.647,4.084,0.665,0.665,11,11,2016
2016-11-16,TATAMOTORS,468.45,471.7,450.0,458.45,0.694,-3.939,-2.135,3.939,0.694,0.694,16,11,2016
2016-11-17,TATAMOTORS,460.0,476.0,459.65,472.85,3.478,-0.076,2.793,3.478,0.076,0.076,17,11,2016
2016-11-18,TATAMOTORS,469.9,473.85,461.85,471.25,0.841,-1.713,0.287,1.713,0.841,0.841,18,11,2016
2016-11-21,TATAMOTORS,468.0,472.8,451.5,456.95,1.026,-3.526,-2.361,3.526,1.026,1.026,21,11,2016
2016-11-22,TATAMOTORS,464.05,471.0,453.3,464.85,1.498,-2.317,0.172,2.317,1.498,1.498,22,11,2016
2016-11-23,TATAMOTORS,467.0,475.3,462.0,471.5,1.777,-1.071,0.964,1.777,1.071,1.071,23,11,2016
2016-11-25,TATAMOTORS,454.1,456.35,443.15,452.35,0.495,-2.411,-0.385,2.411,0.495,0.495,25,11,2016
2016-11-28,TATAMOTORS,451.25,460.0,450.5,454.7,1.939,-0.166,0.765,1.939,0.166,0.166,28,11,2016
2016-11-29,TATAMOTORS,455.0,466.3,451.35,459.85,2.484,-0.802,1.066,2.484,0.802,0.802,29,11,2016
2016-11-30,TATAMOTORS,460.0,463.8,455.1,459.3,0.826,-1.065,-0.152,1.065,0.826,0.826,30,11,2016
2016-12-01,TATAMOTORS,457.0,457.7,446.9,448.2,0.153,-2.21,-1.926,2.21,0.153,0.153,1,12,2016
2016-12-02,TATAMOTORS,445.0,453.5,431.15,432.9,1.91,-3.112,-2.719,3.112,1.91,1.91,2,12,2016
2016-12-05,TATAMOTORS,436.0,441.0,428.3,439.3,1.147,-1.766,0.757,1.766,1.147,1.147,5,12,2016
2016-12-06,TATAMOTORS,441.0,445.9,438.1,441.1,1.111,-0.658,0.023,1.111,0.658,0.658,6,12,2016
2016-12-07,TATAMOTORS,440.0,449.2,439.25,445.35,2.091,-0.17,1.216,2.091,0.17,0.17,7,12,2016
2016-12-09,TATAMOTORS,464.95,468.55,460.6,464.1,0.774,-0.936,-0.183,0.936,0.774,0.774,9,12,2016
2016-12-13,TATAMOTORS,476.8,486.25,462.25,470.65,1.982,-3.052,-1.29,3.052,1.982,1.982,13,12,2016
2016-12-14,TATAMOTORS,470.2,476.8,462.65,472.35,1.404,-1.606,0.457,1.606,1.404,1.404,14,12,2016
2016-12-15,TATAMOTORS,464.0,473.6,462.5,463.2,2.069,-0.323,-0.172,2.069,0.323,0.323,15,12,2016
2016-12-16,TATAMOTORS,465.0,474.9,464.2,473.15,2.129,-0.172,1.753,2.129,0.172,0.172,16,12,2016
2016-12-19,TATAMOTORS,470.9,478.55,465.5,471.8,1.625,-1.147,0.191,1.625,1.147,1.147,19,12,2016
2016-12-20,TATAMOTORS,473.0,475.0,469.1,473.15,0.423,-0.825,0.032,0.825,0.423,0.423,20,12,2016
2016-12-21,TATAMOTORS,473.5,474.5,467.1,468.5,0.211,-1.352,-1.056,1.352,0.211,0.211,21,12,2016
2016-12-22,TATAMOTORS,468.15,472.95,464.8,469.6,1.025,-0.716,0.31,1.025,0.716,0.716,22,12,2016
2016-12-23,TATAMOTORS,464.95,468.3,460.0,465.65,0.721,-1.065,0.151,1.065,0.721,0.721,23,12,2016
2016-12-27,TATAMOTORS,460.0,468.75,457.4,466.95,1.902,-0.565,1.511,1.902,0.565,0.565,27,12,2016
2016-12-28,TATAMOTORS,467.0,468.65,462.0,463.35,0.353,-1.071,-0.782,1.071,0.353,0.353,28,12,2016
2016-12-29,TATAMOTORS,462.75,472.7,459.35,470.9,2.15,-0.735,1.761,2.15,0.735,0.735,29,12,2016
2016-12-30,TATAMOTORS,471.0,475.0,467.5,472.0,0.849,-0.743,0.212,0.849,0.743,0.743,30,12,2016
2017-01-02,TATAMOTORS,472.0,488.7,469.05,487.05,3.538,-0.625,3.189,3.538,0.625,0.625,2,1,2017
2017-01-03,TATAMOTORS,491.0,492.7,479.9,481.1,0.346,-2.261,-2.016,2.261,0.346,0.346,3,1,2017
