Date,Symbol,OpenPrice,HighPrice,LowPrice,ClosePrice,High%,Low%,Close%,target_wrt_h&l%,stoploss_wrt_h&l%,profit_decider,Day,Month,Year,stploss,trgt,profit,cumsum,cumprod
2022-09-20,ADANIENT,3819.0,3885.0,3812.0,3834.55,1.728,-0.183,0.407,1.728,0.183,0.183,20,9,2022,0.01,9.3,-0.02,-0.02,0.9998
2022-09-21,ADANIENT,3837.65,3862.8,3571.25,3640.1,0.655,-6.942,-5.148,6.942,0.655,0.655,21,9,2022,0.01,9.3,-0.02,-0.04,0.99960004
2022-09-22,ADANIENT,3639.0,3735.95,3608.05,3716.3,2.664,-0.851,2.124,2.664,0.851,0.851,22,9,2022,0.01,9.3,-0.02,-0.06,0.9994001199920001
2022-09-23,ADANIENT,3732.0,3737.9,3655.0,3674.3,0.158,-2.063,-1.546,2.063,0.158,0.158,23,9,2022,0.01,9.3,-0.02,-0.08,0.9992002399680017
2022-09-26,ADANIENT,3646.3,3658.0,3532.0,3586.2,0.321,-3.135,-1.648,3.135,0.321,0.321,26,9,2022,0.01,9.3,-0.02,-0.1,0.9990003999200081
2022-09-27,ADANIENT,3596.0,3629.55,3485.85,3559.1,0.933,-3.063,-1.026,3.063,0.933,0.933,27,9,2022,0.01,9.3,-0.02,-0.12000000000000001,0.9988005998400241
2022-09-28,ADANIENT,3528.0,3596.95,3503.0,3548.75,1.954,-0.709,0.588,1.954,0.709,0.709,28,9,2022,0.01,9.3,-0.02,-0.14,0.9986008397200561
2022-09-29,ADANIENT,3583.5,3664.75,3443.6,3470.7,2.267,-3.904,-3.148,3.904,2.267,2.267,29,9,2022,0.01,9.3,-0.02,-0.16,0.9984011195521121
2022-09-30,ADANIENT,3447.95,3523.8,3371.1,3455.75,2.2,-2.229,0.226,2.229,2.2,2.2,30,9,2022,0.01,9.3,-0.02,-0.18,0.9982014393282017
2022-10-03,ADANIENT,3455.75,3455.75,3455.75,3455.75,0.0,0.0,0.0,0.0,0.0,0.0,3,10,2022,0.01,9.3,-0.01,-0.19,0.9981016191842689
2022-10-03,ADANIENT,3440.0,3460.05,3110.2,3157.3,0.583,-9.587,-8.218,9.587,0.583,0.583,3,10,2022,0.01,9.3,-0.02,-0.21,0.9979019988604321
2022-10-04,ADANIENT,3230.0,3291.2,3125.0,3237.7,1.895,-3.251,0.238,3.251,1.895,1.895,4,10,2022,0.01,9.3,-0.02,-0.22999999999999998,0.99770241846066
2022-10-06,ADANIENT,3270.0,3318.8,3208.05,3285.0,1.492,-1.894,0.459,1.894,1.492,1.492,6,10,2022,0.01,9.3,-0.02,-0.24999999999999997,0.9975028779769679
2022-10-07,ADANIENT,3280.0,3310.95,3228.15,3277.6,0.944,-1.581,-0.073,1.581,0.944,0.944,7,10,2022,0.01,9.3,-0.02,-0.26999999999999996,0.9973033774013725
2022-10-10,ADANIENT,3234.0,3278.75,3214.35,3246.25,1.384,-0.608,0.379,1.384,0.608,0.608,10,10,2022,0.01,9.3,-0.02,-0.29,0.9971039167258923
2022-10-11,ADANIENT,3246.25,3246.25,3246.25,3246.25,0.0,0.0,0.0,0.0,0.0,0.0,11,10,2022,0.01,9.3,-0.01,-0.3,0.9970042063342197
2022-10-11,ADANIENT,3257.55,3338.0,3249.0,3273.95,2.47,-0.262,0.503,2.47,0.262,0.262,11,10,2022,0.01,9.3,-0.02,-0.32,0.9968048054929529
2022-10-12,ADANIENT,3297.0,3297.0,3145.0,3223.65,0.0,-4.61,-2.225,4.61,0.0,0.0,12,10,2022,0.01,9.3,2.2150000000000003,1.8950000000000002,1.0188840319346217
2022-10-13,ADANIENT,3218.0,3262.8,3189.0,3233.65,1.392,-0.901,0.486,1.392,0.901,0.901,13,10,2022,0.01,9.3,-0.02,1.8750000000000002,1.0186802551282348
2022-10-14,ADANIENT,3272.0,3305.0,3194.85,3209.5,1.009,-2.358,-1.91,2.358,1.009,1.009,14,10,2022,0.01,9.3,-0.02,1.8550000000000002,1.0184765190772092
2022-10-17,ADANIENT,3211.0,3235.0,3136.1,3212.6,0.747,-2.333,0.05,2.333,0.747,0.747,17,10,2022,0.01,9.3,-0.02,1.8350000000000002,1.0182728237733938
2022-10-18,ADANIENT,3249.0,3298.0,3226.1,3284.3,1.508,-0.705,1.086,1.508,0.705,0.705,18,10,2022,0.01,9.3,-0.02,1.8150000000000002,1.0180691692086392
2022-10-19,ADANIENT,3300.0,3310.0,3259.65,3277.25,0.303,-1.223,-0.689,1.223,0.303,0.303,19,10,2022,0.01,9.3,-0.02,1.7950000000000002,1.0178655553747975
2022-10-20,ADANIENT,3260.0,3365.0,3245.0,3357.1,3.221,-0.46,2.979,3.221,0.46,0.46,20,10,2022,0.01,9.3,-0.02,1.7750000000000001,1.0176619822637225
2022-10-21,ADANIENT,3374.9,3382.0,3287.0,3311.9,0.21,-2.605,-1.867,2.605,0.21,0.21,21,10,2022,0.01,9.3,-0.02,1.7550000000000001,1.0174584498672699
2022-10-24,ADANIENT,3325.0,3340.1,3287.4,3309.8,0.454,-1.131,-0.457,1.131,0.454,0.454,24,10,2022,0.01,9.3,-0.02,1.735,1.0172549581772965
2022-10-25,ADANIENT,3309.8,3309.8,3309.8,3309.8,0.0,0.0,0.0,0.0,0.0,0.0,25,10,2022,0.01,9.3,-0.01,1.725,1.0171532326814787
2022-10-25,ADANIENT,3321.95,3345.0,3294.0,3300.5,0.694,-0.841,-0.646,0.841,0.694,0.694,25,10,2022,0.01,9.3,-0.02,1.705,1.0169498020349426
2022-10-27,ADANIENT,3319.85,3355.0,3297.0,3325.0,1.059,-0.688,0.155,1.059,0.688,0.688,27,10,2022,0.01,9.3,-0.02,1.685,1.0167464120745355
