Date,Symbol,OpenPrice,HighPrice,LowPrice,ClosePrice,High%,Low%,Close%,target_wrt_h&l%,stoploss_wrt_h&l%,profit_decider,Day,Month,Year,stploss,trgt,profit,cumsum,cumprod
2020-09-21,ADANIENT,293.0,296.25,265.0,277.1,1.109,-9.556,-5.427,9.556,1.109,1.109,21,9,2020,0.01,14.5,-0.02,-0.02,0.9998
2020-09-22,ADANIENT,278.25,283.0,257.5,280.4,1.707,-7.457,0.773,7.457,1.707,1.707,22,9,2020,0.01,14.5,-0.02,-0.04,0.99960004
2020-09-23,ADANIENT,283.95,296.25,278.45,283.55,4.332,-1.937,-0.141,4.332,1.937,1.937,23,9,2020,0.01,14.5,-0.02,-0.06,0.9994001199920001
2020-09-24,ADANIENT,277.95,281.25,269.5,270.45,1.187,-3.04,-2.698,3.04,1.187,1.187,24,9,2020,0.01,14.5,-0.02,-0.08,0.9992002399680017
2020-09-25,ADANIENT,275.9,283.6,275.0,280.3,2.791,-0.326,1.595,2.791,0.326,0.326,25,9,2020,0.01,14.5,-0.02,-0.1,0.9990003999200081
2020-09-28,ADANIENT,283.1,302.05,282.1,295.7,6.694,-0.353,4.451,6.694,0.353,0.353,28,9,2020,0.01,14.5,-0.02,-0.12000000000000001,0.9988005998400241
2020-09-29,ADANIENT,299.9,307.0,292.15,297.9,2.367,-2.584,-0.667,2.584,2.367,2.367,29,9,2020,0.01,14.5,-0.02,-0.14,0.9986008397200561
2020-09-30,ADANIENT,300.0,304.7,295.1,297.1,1.567,-1.633,-0.967,1.633,1.567,1.567,30,9,2020,0.01,14.5,-0.02,-0.16,0.9984011195521121
2020-10-01,ADANIENT,299.8,311.95,296.0,308.15,4.053,-1.268,2.785,4.053,1.268,1.268,1,10,2020,0.01,14.5,-0.02,-0.18,0.9982014393282017
2020-10-05,ADANIENT,311.5,334.5,307.35,326.6,7.384,-1.332,4.848,7.384,1.332,1.332,5,10,2020,0.01,14.5,-0.02,-0.19999999999999998,0.9980017990403361
2020-10-06,ADANIENT,329.4,331.15,320.3,327.15,0.531,-2.763,-0.683,2.763,0.531,0.531,6,10,2020,0.01,14.5,-0.02,-0.21999999999999997,0.9978021986805281
2020-10-07,ADANIENT,325.15,335.6,323.25,330.1,3.214,-0.584,1.522,3.214,0.584,0.584,7,10,2020,0.01,14.5,-0.02,-0.23999999999999996,0.997602638240792
2020-10-08,ADANIENT,329.0,329.8,310.5,316.25,0.243,-5.623,-3.875,5.623,0.243,0.243,8,10,2020,0.01,14.5,-0.02,-0.25999999999999995,0.9974031177131438
2020-10-09,ADANIENT,318.8,322.05,310.5,313.0,1.019,-2.604,-1.819,2.604,1.019,1.019,9,10,2020,0.01,14.5,-0.02,-0.27999999999999997,0.9972036370896012
2020-10-12,ADANIENT,315.0,322.7,313.0,315.35,2.444,-0.635,0.111,2.444,0.635,0.635,12,10,2020,0.01,14.5,-0.02,-0.3,0.9970041963621834
2020-10-13,ADANIENT,315.5,316.8,309.75,313.2,0.412,-1.823,-0.729,1.823,0.412,0.412,13,10,2020,0.01,14.5,-0.02,-0.32,0.996804795522911
2020-10-14,ADANIENT,312.95,315.7,310.05,313.4,0.879,-0.927,0.144,0.927,0.879,0.879,14,10,2020,0.01,14.5,-0.02,-0.34,0.9966054345638065
2020-10-15,ADANIENT,315.0,325.85,305.35,307.1,3.444,-3.063,-2.508,3.444,3.063,3.063,15,10,2020,0.01,14.5,-0.02,-0.36000000000000004,0.9964061134768937
2020-10-16,ADANIENT,309.25,313.95,305.35,307.0,1.52,-1.261,-0.728,1.52,1.261,1.261,16,10,2020,0.01,14.5,-0.02,-0.38000000000000006,0.9962068322541984
2020-10-19,ADANIENT,309.9,319.25,309.35,316.95,3.017,-0.177,2.275,3.017,0.177,0.177,19,10,2020,0.01,14.5,-0.02,-0.4000000000000001,0.9960075908877476
2020-10-20,ADANIENT,315.3,327.85,313.5,321.9,3.98,-0.571,2.093,3.98,0.571,0.571,20,10,2020,0.01,14.5,-0.02,-0.4200000000000001,0.9958083893695701
2020-10-21,ADANIENT,322.0,324.7,306.0,312.0,0.839,-4.969,-3.106,4.969,0.839,0.839,21,10,2020,0.01,14.5,-0.02,-0.4400000000000001,0.9956092276916961
2020-10-22,ADANIENT,311.0,314.8,309.0,311.5,1.222,-0.643,0.161,1.222,0.643,0.643,22,10,2020,0.01,14.5,-0.02,-0.46000000000000013,0.9954101058461579
2020-10-23,ADANIENT,314.0,322.45,313.3,315.45,2.691,-0.223,0.462,2.691,0.223,0.223,23,10,2020,0.01,14.5,-0.02,-0.48000000000000015,0.9952110238249886
