Date,Symbol,OpenPrice,HighPrice,LowPrice,ClosePrice,High%,Low%,Close%,target_wrt_h&l%,stoploss_wrt_h&l%,profit_decider,Day,Month,Year,stploss,trgt,profit,cumsum,cumprod
2016-09-20,RTNINFRA,3.55,3.6,3.5,3.5,1.408,-1.408,-1.408,1.408,1.408,1.408,20,9,2016,0.01,9.5,-0.02,-0.02,0.9998
2016-09-21,RTNINFRA,3.5,3.6,3.5,3.55,2.857,0.0,1.429,2.857,0.0,0.0,21,9,2016,0.01,9.5,1.419,1.399,1.013987162
2016-09-22,RTNINFRA,3.55,3.6,3.45,3.5,1.408,-2.817,-1.408,2.817,1.408,1.408,22,9,2016,0.01,9.5,-0.02,1.379,1.0137843645676001
2016-09-23,RTNINFRA,3.45,3.55,3.45,3.5,2.899,0.0,1.449,2.899,0.0,0.0,23,9,2016,0.01,9.5,1.439,2.818,1.0283727215737277
2016-09-26,RTNINFRA,3.5,3.5,3.4,3.45,0.0,-2.857,-1.429,2.857,0.0,0.0,26,9,2016,0.01,9.5,1.419,4.237,1.0429653304928588
2016-09-27,RTNINFRA,3.45,3.45,3.4,3.4,0.0,-1.449,-1.449,1.449,0.0,0.0,27,9,2016,0.01,9.5,1.439,5.676,1.057973601598651
2016-09-28,RTNINFRA,3.4,3.45,3.35,3.4,1.471,-1.471,0.0,1.471,1.471,1.471,28,9,2016,0.01,9.5,-0.02,5.656000000000001,1.0577620068783313
2016-09-29,RTNINFRA,3.4,3.45,3.05,3.25,1.471,-10.294,-4.412,10.294,1.471,1.471,29,9,2016,0.01,9.5,-0.02,5.636000000000001,1.0575504544769556
2016-09-30,RTNINFRA,3.25,3.4,3.25,3.3,4.615,0.0,1.538,4.615,0.0,0.0,30,9,2016,0.01,9.5,1.528,7.1640000000000015,1.0737098254213635
2016-10-03,RTNINFRA,3.35,3.5,3.3,3.45,4.478,-1.493,2.985,4.478,1.493,1.493,3,10,2016,0.01,9.5,-0.02,7.144000000000002,1.0734950834562793
2016-10-04,RTNINFRA,3.4,3.45,3.35,3.35,1.471,-1.471,-1.471,1.471,1.471,1.471,4,10,2016,0.01,9.5,-0.02,7.124000000000002,1.0732803844395882
2016-10-05,RTNINFRA,3.4,3.4,3.35,3.4,0.0,-1.471,0.0,1.471,0.0,0.0,5,10,2016,0.01,9.5,-0.01,7.1140000000000025,1.0731730564011441
2016-10-06,RTNINFRA,3.4,3.45,3.35,3.45,1.471,-1.471,1.471,1.471,1.471,1.471,6,10,2016,0.01,9.5,-0.02,7.094000000000003,1.072958421789864
2016-10-07,RTNINFRA,3.4,3.5,3.4,3.4,2.941,0.0,0.0,2.941,0.0,0.0,7,10,2016,0.01,9.5,-0.01,7.084000000000003,1.072851125947685
2016-10-10,RTNINFRA,3.4,3.45,3.2,3.25,1.471,-5.882,-4.412,5.882,1.471,1.471,10,10,2016,0.01,9.5,-0.02,7.064000000000004,1.0726365557224955
2016-10-13,RTNINFRA,3.3,3.3,3.25,3.3,0.0,-1.515,0.0,1.515,0.0,0.0,13,10,2016,0.01,9.5,-0.01,7.054000000000004,1.0725292920669232
2016-10-14,RTNINFRA,3.25,3.35,3.25,3.3,3.077,0.0,1.538,3.077,0.0,0.0,14,10,2016,0.01,9.5,1.528,8.582000000000004,1.0889175396497057
2016-10-17,RTNINFRA,3.3,3.35,3.25,3.25,1.515,-1.515,-1.515,1.515,1.515,1.515,17,10,2016,0.01,9.5,-0.02,8.562000000000005,1.0886997561417757
2016-10-18,RTNINFRA,3.25,3.35,3.25,3.3,3.077,0.0,1.538,3.077,0.0,0.0,18,10,2016,0.01,9.5,1.528,10.090000000000005,1.1053350884156221
2016-10-19,RTNINFRA,3.35,3.35,3.25,3.3,0.0,-2.985,-1.493,2.985,0.0,0.0,19,10,2016,0.01,9.5,1.483,11.573000000000006,1.1217272077768257
2016-10-20,RTNINFRA,3.35,3.35,3.25,3.25,0.0,-2.985,-2.985,2.985,0.0,0.0,20,10,2016,0.01,9.5,2.975,14.548000000000005,1.1550985922081862
2016-10-21,RTNINFRA,3.3,3.3,3.25,3.3,0.0,-1.515,0.0,1.515,0.0,0.0,21,10,2016,0.01,9.5,-0.01,14.538000000000006,1.1549830823489655
2016-10-24,RTNINFRA,3.3,3.4,3.3,3.35,3.03,0.0,1.515,3.03,0.0,0.0,24,10,2016,0.01,9.5,1.505,16.043000000000006,1.1723655777383175
2016-10-25,RTNINFRA,3.4,3.4,3.3,3.3,0.0,-2.941,-2.941,2.941,0.0,0.0,25,10,2016,0.01,9.5,2.931,18.974000000000007,1.2067276128218276
2016-10-26,RTNINFRA,3.3,3.35,3.3,3.3,1.515,0.0,0.0,1.515,0.0,0.0,26,10,2016,0.01,9.5,-0.01,18.964000000000006,1.2066069400605455
2016-10-27,RTNINFRA,3.3,3.35,3.3,3.3,1.515,0.0,0.0,1.515,0.0,0.0,27,10,2016,0.01,9.5,-0.01,18.954000000000004,1.2064862793665394
2016-10-28,RTNINFRA,3.3,3.45,3.3,3.3,4.545,0.0,0.0,4.545,0.0,0.0,28,10,2016,0.01,9.5,-0.01,18.944000000000003,1.2063656307386028
2016-10-30,RTNINFRA,3.35,3.4,3.3,3.35,1.493,-1.493,0.0,1.493,1.493,1.493,30,10,2016,0.01,9.5,-0.02,18.924000000000003,1.2061243576124552
2016-11-01,RTNINFRA,3.4,3.4,3.35,3.35,0.0,-1.471,-1.471,1.471,0.0,0.0,1,11,2016,0.01,9.5,1.461,20.385,1.2237458344771732
2016-11-02,RTNINFRA,3.4,3.4,3.25,3.25,0.0,-4.412,-4.412,4.412,0.0,0.0,2,11,2016,0.01,9.5,4.402,24.787000000000003,1.2776151261108584
2016-11-03,RTNINFRA,3.3,3.4,3.25,3.25,3.03,-1.515,-1.515,3.03,1.515,1.515,3,11,2016,0.01,9.5,-0.02,24.767000000000003,1.2773596030856362
2016-11-04,RTNINFRA,3.3,3.35,3.2,3.25,1.515,-3.03,-1.515,3.03,1.515,1.515,4,11,2016,0.01,9.5,-0.02,24.747000000000003,1.277104131165019
2016-11-07,RTNINFRA,3.25,3.35,3.25,3.25,3.077,0.0,0.0,3.077,0.0,0.0,7,11,2016,0.01,9.5,-0.01,24.737000000000002,1.2769764207519025
2016-11-08,RTNINFRA,3.25,3.3,3.25,3.3,1.538,0.0,1.538,1.538,0.0,0.0,8,11,2016,0.01,9.5,1.528,26.265,1.2964886204609916
2016-11-09,RTNINFRA,3.1,3.25,3.1,3.2,4.839,0.0,3.226,4.839,0.0,0.0,9,11,2016,0.01,9.5,3.216,29.481,1.338183694495017
2016-11-10,RTNINFRA,3.25,3.3,3.25,3.25,1.538,0.0,0.0,1.538,0.0,0.0,10,11,2016,0.01,9.5,-0.01,29.471,1.3380498761255675
2016-11-11,RTNINFRA,3.2,3.25,3.2,3.2,1.562,0.0,0.0,1.562,0.0,0.0,11,11,2016,0.01,9.5,-0.01,29.461,1.337916071137955
2016-11-15,RTNINFRA,3.2,3.25,3.15,3.2,1.562,-1.563,0.0,1.563,1.562,1.562,15,11,2016,0.01,9.5,-0.02,29.441,1.3376484879237274
2016-11-16,RTNINFRA,3.2,3.2,3.15,3.15,0.0,-1.563,-1.563,1.563,0.0,0.0,16,11,2016,0.01,9.5,1.553,30.994,1.3584221689411828
2016-11-17,RTNINFRA,3.15,3.2,3.1,3.1,1.587,-1.587,-1.587,1.587,1.587,1.587,17,11,2016,0.01,9.5,-0.02,30.974,1.3581504845073946
2016-11-18,RTNINFRA,3.1,3.15,3.1,3.1,1.613,0.0,0.0,1.613,0.0,0.0,18,11,2016,0.01,9.5,-0.01,30.964,1.358014669458944
2016-11-21,RTNINFRA,3.1,3.15,2.95,3.0,1.613,-4.839,-3.226,4.839,1.613,1.613,21,11,2016,0.01,9.5,-0.02,30.944,1.357743066525052
2016-11-22,RTNINFRA,3.0,3.0,2.85,2.9,0.0,-5.0,-3.333,5.0,0.0,0.0,22,11,2016,0.01,9.5,3.3230000000000004,34.266999999999996,1.4028608686256796
2016-11-23,RTNINFRA,2.95,3.1,2.9,3.05,5.085,-1.695,3.39,5.085,1.695,1.695,23,11,2016,0.01,9.5,-0.02,34.24699999999999,1.4025802964519545
2016-11-24,RTNINFRA,3.0,3.05,3.0,3.0,1.667,0.0,0.0,1.667,0.0,0.0,24,11,2016,0.01,9.5,-0.01,34.236999999999995,1.4024400384223092
2016-11-25,RTNINFRA,3.0,3.05,3.0,3.0,1.667,0.0,0.0,1.667,0.0,0.0,25,11,2016,0.01,9.5,-0.01,34.227,1.402299794418467
2016-11-28,RTNINFRA,3.05,3.05,3.0,3.0,0.0,-1.639,-1.639,1.639,0.0,0.0,28,11,2016,0.01,9.5,1.629,35.855999999999995,1.4251432580695438
2016-11-29,RTNINFRA,3.0,3.1,3.0,3.1,3.333,0.0,3.333,3.333,0.0,0.0,29,11,2016,0.01,9.5,3.3230000000000004,39.178999999999995,1.472500768535195
2016-11-30,RTNINFRA,3.05,3.15,3.05,3.05,3.279,0.0,0.0,3.279,0.0,0.0,30,11,2016,0.01,9.5,-0.01,39.169,1.4723535184583414
2016-12-01,RTNINFRA,3.05,3.15,3.05,3.1,3.279,0.0,1.639,3.279,0.0,0.0,1,12,2016,0.01,9.5,1.629,40.797999999999995,1.4963381572740277
2016-12-02,RTNINFRA,3.05,3.1,3.05,3.05,1.639,0.0,0.0,1.639,0.0,0.0,2,12,2016,0.01,9.5,-0.01,40.788,1.4961885234583003
2016-12-05,RTNINFRA,3.1,3.1,3.05,3.05,0.0,-1.613,-1.613,1.613,0.0,0.0,5,12,2016,0.01,9.5,1.603,42.391,1.520172425489337
2016-12-06,RTNINFRA,3.1,3.1,2.95,3.0,0.0,-4.839,-3.226,4.839,0.0,0.0,6,12,2016,0.01,9.5,3.216,45.607,1.569061170693074
2016-12-07,RTNINFRA,3.0,3.05,3.0,3.0,1.667,0.0,0.0,1.667,0.0,0.0,7,12,2016,0.01,9.5,-0.01,45.597,1.5689042645760047
2016-12-08,RTNINFRA,3.05,3.05,3.0,3.05,0.0,-1.639,0.0,1.639,0.0,0.0,8,12,2016,0.01,9.5,-0.01,45.587,1.5687473741495472
2016-12-09,RTNINFRA,3.05,3.05,3.0,3.0,0.0,-1.639,-1.639,1.639,0.0,0.0,9,12,2016,0.01,9.5,1.629,47.216,1.5943022688744433
2016-12-12,RTNINFRA,3.0,3.05,3.0,3.05,1.667,0.0,1.667,1.667,0.0,0.0,12,12,2016,0.01,9.5,1.657,48.873000000000005,1.6207198574696928
2016-12-13,RTNINFRA,3.0,3.05,3.0,3.0,1.667,0.0,0.0,1.667,0.0,0.0,13,12,2016,0.01,9.5,-0.01,48.86300000000001,1.620557785483946
2016-12-14,RTNINFRA,3.0,3.05,3.0,3.0,1.667,0.0,0.0,1.667,0.0,0.0,14,12,2016,0.01,9.5,-0.01,48.85300000000001,1.6203957297053975
2016-12-15,RTNINFRA,3.05,3.05,3.0,3.0,0.0,-1.639,-1.639,1.639,0.0,0.0,15,12,2016,0.01,9.5,1.629,50.482000000000006,1.6467919761422982
2016-12-16,RTNINFRA,3.0,3.05,3.0,3.05,1.667,0.0,1.667,1.667,0.0,0.0,16,12,2016,0.01,9.5,1.657,52.13900000000001,1.674079319186976
2016-12-19,RTNINFRA,3.0,3.05,3.0,3.0,1.667,0.0,0.0,1.667,0.0,0.0,19,12,2016,0.01,9.5,-0.01,52.12900000000001,1.6739119112550573
2016-12-20,RTNINFRA,3.0,3.05,3.0,3.0,1.667,0.0,0.0,1.667,0.0,0.0,20,12,2016,0.01,9.5,-0.01,52.119000000000014,1.6737445200639318
2016-12-21,RTNINFRA,3.0,3.05,3.0,3.0,1.667,0.0,0.0,1.667,0.0,0.0,21,12,2016,0.01,9.5,-0.01,52.109000000000016,1.6735771456119255
2016-12-22,RTNINFRA,3.0,3.05,2.95,2.95,1.667,-1.667,-1.667,1.667,1.667,1.667,22,12,2016,0.01,9.5,-0.02,52.08900000000001,1.673242430182803
2016-12-23,RTNINFRA,3.0,3.05,2.95,3.05,1.667,-1.667,1.667,1.667,1.667,1.667,23,12,2016,0.01,9.5,-0.02,52.06900000000001,1.6729077816967666
2016-12-26,RTNINFRA,3.05,3.05,2.95,3.0,0.0,-3.279,-1.639,3.279,0.0,0.0,26,12,2016,0.01,9.5,1.629,53.69800000000001,1.7001594494606067
2016-12-27,RTNINFRA,2.95,3.0,2.95,2.95,1.695,0.0,0.0,1.695,0.0,0.0,27,12,2016,0.01,9.5,-0.01,53.68800000000001,1.6999894335156607
2016-12-28,RTNINFRA,2.95,3.0,2.95,2.95,1.695,0.0,0.0,1.695,0.0,0.0,28,12,2016,0.01,9.5,-0.01,53.67800000000001,1.6998194345723092
2016-12-29,RTNINFRA,3.0,3.0,2.95,3.0,0.0,-1.667,0.0,1.667,0.0,0.0,29,12,2016,0.01,9.5,-0.01,53.66800000000001,1.699649452628852
2016-12-30,RTNINFRA,2.95,3.0,2.95,3.0,1.695,0.0,1.695,1.695,0.0,0.0,30,12,2016,0.01,9.5,1.685,55.353000000000016,1.728288545905648
