symbol,month,year,OpenPrice,HighPrice,LowPrice,ClosePrice,High%,Low%,Close%,target_wrt_h&l%,stoploss_wrt_h&l%,profit_decider,stploss,trgt,profit,cumsum,cumprod
ADANIENT,1,2020,209.0,238.35,194.55,229.45,14.043,-6.914,9.785,14.043,6.914,6.914,8.68,44.400000000000006,1.1050000000000004,1.1050000000000004,1.01105
ADANIENT,2,2020,228.0,261.0,215.6,218.65,14.474,-5.439,-4.101,14.474,5.439,5.439,8.68,44.400000000000006,-4.579,-3.4739999999999993,0.9647540205
ADANIENT,3,2020,223.0,228.65,116.4,137.6,2.534,-47.803,-38.296,47.803,2.534,2.534,8.68,44.400000000000006,35.720000000000006,32.24600000000001,1.3093641566226002
ADANIENT,4,2020,138.95,155.45,128.0,141.4,11.875,-7.881,1.763,11.875,7.881,7.881,8.68,44.400000000000006,-6.917,25.329000000000008,1.218795437909015
ADANIENT,5,2020,136.9,153.6,127.3,148.35,12.199,-7.012,8.364,12.199,7.012,7.012,8.68,44.400000000000006,-0.31599999999999895,25.01300000000001,1.2149440443252224
ADANIENT,6,2020,150.0,169.2,141.0,156.25,12.8,-6.0,4.167,12.8,6.0,6.0,8.68,44.400000000000006,-4.513,20.500000000000007,1.1601136196048252
ADANIENT,7,2020,157.15,190.85,145.2,175.25,21.444,-7.604,11.518,21.444,7.604,7.604,8.68,44.400000000000006,2.838000000000001,23.338000000000008,1.19303764412921
ADANIENT,8,2020,175.25,322.4,171.2,279.55,83.966,-2.311,59.515,83.966,2.311,2.311,8.68,44.400000000000006,35.720000000000006,59.058000000000014,1.6191906906121643
ADANIENT,9,2020,279.95,307.95,257.5,297.1,10.002,-8.019,6.126,10.002,8.019,8.019,8.68,44.400000000000006,-2.5539999999999994,56.50400000000001,1.5778365603739295
ADANIENT,10,2020,299.8,347.5,296.0,339.7,15.911,-1.268,13.309,15.911,1.268,1.268,8.68,44.400000000000006,4.629,61.13300000000001,1.6508746147536386
ADANIENT,11,2020,339.1,415.5,333.05,398.4,22.53,-1.784,17.487,22.53,1.784,1.784,8.68,44.400000000000006,8.806999999999999,69.94000000000001,1.7962671420749918
ADANIENT,12,2020,398.0,507.0,395.1,479.55,27.387,-0.729,20.49,27.387,0.729,0.729,8.68,44.400000000000006,11.809999999999999,81.75000000000001,2.0084062915540484
ADANIENT,1,2021,477.0,493.25,477.0,491.15,3.407,0.0,2.966,3.407,0.0,0.0,8.68,44.400000000000006,-5.7139999999999995,76.03600000000002,1.8936459560546501
