symbol,month,year,OpenPrice,HighPrice,LowPrice,ClosePrice,High%,Low%,Close%,target_wrt_h&l%,stoploss_wrt_h&l%,profit_decider,stploss,trgt,profit,cumsum,cumprod
ADANIENT,1,2022,1713.0,1908.5,1654.5,1714.95,11.413,-3.415,0.114,11.413,3.415,3.415,2.67,47.800000000000004,-5.34,-5.34,0.9466
ADANIENT,2,2022,1727.95,1809.0,1528.8,1644.45,4.691,-11.525,-4.832,11.525,4.691,4.691,2.67,47.800000000000004,-5.34,-10.68,0.89605156
ADANIENT,3,2022,1638.0,2042.0,1539.3,2014.75,24.664,-6.026,23.001,24.664,6.026,6.026,2.67,47.800000000000004,-5.34,-16.02,0.848202406696
ADANIENT,4,2022,2018.0,2420.95,2013.05,2332.0,19.968,-0.245,15.56,19.968,0.245,0.245,2.67,47.800000000000004,12.89,-3.129999999999999,0.9575356969191144
ADANIENT,5,2022,2325.0,2362.9,1906.2,2167.55,1.63,-18.013,-6.772,18.013,1.63,1.63,2.67,47.800000000000004,4.102,0.9720000000000013,0.9968138112067366
ADANIENT,6,2022,2169.95,2274.0,2025.0,2190.9,4.795,-6.68,0.965,6.68,4.795,4.795,2.67,47.800000000000004,-5.34,-4.3679999999999986,0.9435839536882968
ADANIENT,7,2022,2189.9,2622.0,2138.25,2569.2,19.731,-2.359,17.32,19.731,2.359,2.359,2.67,47.800000000000004,14.65,10.282000000000002,1.0818190029036323
ADANIENT,8,2022,2575.85,3263.1,2569.2,3194.35,26.681,-0.258,24.011,26.681,0.258,0.258,2.67,47.800000000000004,21.341,31.623000000000005,1.3126899963132965
ADANIENT,9,2022,3200.0,3885.0,3184.4,3455.75,21.406,-0.487,7.992,21.406,0.487,0.487,2.67,47.800000000000004,5.322,36.94500000000001,1.3825513579170903
ADANIENT,10,2022,3455.75,3460.05,3110.2,3347.45,0.124,-9.999,-3.134,9.999,0.124,0.124,2.67,47.800000000000004,0.46399999999999997,37.409000000000006,1.3889663962178256
ADANIENT,11,2022,3361.9,4096.0,3352.0,3917.9,21.836,-0.294,16.538,21.836,0.294,0.294,2.67,47.800000000000004,13.868,51.27700000000001,1.5815882560453136
ADANIENT,12,2022,3937.5,4190.0,3616.8,3858.35,6.413,-8.145,-2.01,8.145,6.413,6.413,2.67,47.800000000000004,-5.34,45.93700000000001,1.4971314431724938
