symbol,month,year,OpenPrice,HighPrice,LowPrice,ClosePrice,High%,Low%,Close%,target_wrt_h&l%,stoploss_wrt_h&l%,profit_decider
ADANIENT,1,2021,477.0,552.95,477.0,506.65,15.922,0.0,6.216,15.922,0.0,0.0
ADANIENT,2,2021,510.5,862.4,496.9,833.65,68.932,-2.664,63.301,68.932,2.664,2.664
ADANIENT,3,2021,840.75,1093.0,836.45,1031.15,30.003,-0.511,22.646,30.003,0.511,0.511
ADANIENT,4,2021,1043.4,1251.6,1035.0,1158.7,19.954,-0.805,11.05,19.954,0.805,0.805
ADANIENT,5,2021,1145.1,1351.55,1122.65,1316.3,18.029,-1.961,14.951,18.029,1.961,1.961
ADANIENT,6,2021,1319.9,1717.2,1201.2,1507.55,30.101,-8.993,14.217,30.101,8.993,8.993
ADANIENT,7,2021,1509.55,1522.55,1332.75,1420.25,0.861,-11.712,-5.916,11.712,0.861,0.861
ADANIENT,8,2021,1435.0,1596.85,1361.55,1587.6,11.279,-5.118,10.634,11.279,5.118,5.118
ADANIENT,9,2021,1594.9,1628.45,1381.35,1468.1,2.104,-13.39,-7.95,13.39,2.104,2.104
ADANIENT,10,2021,1465.0,1672.95,1367.7,1423.6,14.195,-6.642,-2.826,14.195,6.642,6.642
ADANIENT,11,2021,1436.0,1788.9,1411.2,1662.85,24.575,-1.727,15.797,24.575,1.727,1.727
ADANIENT,12,2021,1694.0,1788.0,1555.2,1709.45,5.549,-8.194,0.912,8.194,5.549,5.549
ADANIENT,1,2022,1713.0,1908.5,1654.5,1714.95,11.413,-3.415,0.114,11.413,3.415,3.415
ADANIENT,2,2022,1727.95,1809.0,1528.8,1644.45,4.691,-11.525,-4.832,11.525,4.691,4.691
ADANIENT,3,2022,1638.0,2042.0,1539.3,2014.75,24.664,-6.026,23.001,24.664,6.026,6.026
ADANIENT,4,2022,2018.0,2420.95,2013.05,2332.0,19.968,-0.245,15.56,19.968,0.245,0.245
ADANIENT,5,2022,2325.0,2362.9,1906.2,2167.55,1.63,-18.013,-6.772,18.013,1.63,1.63
ADANIENT,6,2022,2169.95,2274.0,2025.0,2190.9,4.795,-6.68,0.965,6.68,4.795,4.795
ADANIENT,7,2022,2189.9,2622.0,2138.25,2569.2,19.731,-2.359,17.32,19.731,2.359,2.359
ADANIENT,8,2022,2575.85,3263.1,2569.2,3194.35,26.681,-0.258,24.011,26.681,0.258,0.258
ADANIENT,9,2022,3200.0,3885.0,3184.4,3455.75,21.406,-0.487,7.992,21.406,0.487,0.487
ADANIENT,10,2022,3455.75,3460.05,3110.2,3347.45,0.124,-9.999,-3.134,9.999,0.124,0.124
ADANIENT,11,2022,3361.9,4096.0,3352.0,3917.9,21.836,-0.294,16.538,21.836,0.294,0.294
ADANIENT,12,2022,3937.5,4190.0,3616.8,3858.35,6.413,-8.145,-2.01,8.145,6.413,6.413
