symbol,month,year,OpenPrice,HighPrice,LowPrice,ClosePrice,High%,Low%,Close%,target_wrt_h&l%,stoploss_wrt_h&l%,profit_decider,stploss,trgt,profit,cumsum,cumprod
ADANIENT,1,2022,1713.0,1908.5,1654.5,1714.95,11.413,-3.415,0.114,11.413,3.415,3.415,2.67,47.800000000000004,-5.34,-5.34,0.9466
ADANIENT,2,2022,1727.95,1809.0,1528.8,1644.45,4.691,-11.525,-4.832,11.525,4.691,4.691,2.67,47.800000000000004,-5.34,-10.68,0.89605156
ADANIENT,3,2022,1638.0,2042.0,1539.3,2014.75,24.664,-6.026,23.001,24.664,6.026,6.026,2.67,47.800000000000004,-5.34,-16.02,0.848202406696
ADANIENT,4,2022,2018.0,2420.95,2013.05,2332.0,19.968,-0.245,15.56,19.968,0.245,0.245,2.67,47.800000000000004,12.89,-3.129999999999999,0.9575356969191144
ADANIENT,5,2022,2325.0,2362.9,1906.2,2167.55,1.63,-18.013,-6.772,18.013,1.63,1.63,2.67,47.800000000000004,4.102,0.9720000000000013,0.9968138112067366
ADANIENT,6,2022,2169.95,2274.0,2025.0,2190.9,4.795,-6.68,0.965,6.68,4.795,4.795,2.67,47.800000000000004,-5.34,-4.3679999999999986,0.9435839536882968
ADANIENT,7,2022,2189.9,2622.0,2138.25,2569.2,19.731,-2.359,17.32,19.731,2.359,2.359,2.67,47.800000000000004,14.65,10.282000000000002,1.0818190029036323
ADANIENT,8,2022,2575.85,3263.1,2569.2,3194.35,26.681,-0.258,24.011,26.681,0.258,0.258,2.67,47.800000000000004,21.341,31.623000000000005,1.3126899963132965
ADANIENT,9,2022,3200.0,3885.0,3184.4,3455.75,21.406,-0.487,7.992,21.406,0.487,0.487,2.67,47.800000000000004,5.322,36.94500000000001,1.3825513579170903
ADANIENT,10,2022,3455.75,3460.05,3110.2,3347.45,0.124,-9.999,-3.134,9.999,0.124,0.124,2.67,47.800000000000004,0.46399999999999997,37.409000000000006,1.3889663962178256
ADANIENT,11,2022,3361.9,4096.0,3352.0,3917.9,21.836,-0.294,16.538,21.836,0.294,0.294,2.67,47.800000000000004,13.868,51.27700000000001,1.5815882560453136
ADANIENT,12,2022,3937.5,4190.0,3616.8,3858.35,6.413,-8.145,-2.01,8.145,6.413,6.413,2.67,47.800000000000004,-5.34,45.93700000000001,1.4971314431724938
ADANIENT,1,2023,3870.0,3880.0,2665.0,2973.9,0.258,-31.137,-23.155,31.137,0.258,0.258,2.67,47.800000000000004,20.485,66.42200000000001,1.803818819306379
ADANIENT,2,2023,2995.0,3010.75,1017.45,1363.85,0.526,-66.028,-54.462,66.028,0.526,0.526,2.67,47.800000000000004,45.13,111.55200000000002,2.617882252459348
ADANIENT,3,2023,1424.0,2135.0,1407.9,1750.45,49.93,-1.131,22.925,49.93,1.131,1.131,2.67,47.800000000000004,45.13,156.68200000000002,3.7993325129942517
ADANIENT,4,2023,1750.45,1944.0,1671.55,1924.95,11.057,-4.507,9.969,11.057,4.507,4.507,2.67,47.800000000000004,-5.34,151.342,3.5964481568003586
ADANIENT,5,2023,1935.0,2759.45,1785.35,2493.35,42.607,-7.734,28.855,42.607,7.734,7.734,2.67,47.800000000000004,-5.34,146.002,3.4043978252272193
ADANIENT,6,2023,2499.9,2560.0,2163.3,2388.05,2.404,-13.465,-4.474,13.465,2.404,2.404,2.67,47.800000000000004,1.8040000000000003,147.806,3.4658131619943187
ADANIENT,7,2023,2405.0,2518.0,2340.0,2492.2,4.699,-2.703,3.626,4.699,2.703,2.703,2.67,47.800000000000004,-5.34,142.466,3.280738739143822
ADANIENT,8,2023,2504.85,2722.4,2383.75,2419.25,8.685,-4.835,-3.417,8.685,4.835,4.835,2.67,47.800000000000004,-5.34,137.126,3.105547290473542
ADANIENT,9,2023,2381.0,2630.25,2380.0,2413.9,10.468,-0.042,1.382,10.468,0.042,0.042,2.67,47.800000000000004,-1.288,135.838,3.065547841372243
ADANIENT,10,2023,2418.0,2538.0,2167.05,2294.65,4.963,-10.378,-5.101,10.378,4.963,4.963,2.67,47.800000000000004,-5.34,130.498,2.9018475866429654
ADANIENT,11,2023,2299.0,2512.4,2142.0,2358.55,9.282,-6.829,2.59,9.282,6.829,6.829,2.67,47.800000000000004,-5.34,125.15799999999999,2.746888925516231
ADANIENT,12,2023,2370.0,3154.55,2354.1,2848.95,33.103,-0.671,20.209,33.103,0.671,0.671,2.67,47.800000000000004,17.539,142.697,3.2286657741625224
ADANIENT,1,2024,2852.3,2947.0,2842.05,2917.2,3.32,-0.359,2.275,3.32,0.359,0.359,2.67,47.800000000000004,-0.395,142.302,3.2159125443545804
