symbol,tprofit,cprofit,fstp,ftrgt,fdate,tdate,fdate_trgt_stp,tdate_trgt_stp
RTNINDIA,131.72500000000002,3.6278136749826455,0.01,6.4,20-09-2022,20-09-2024,20-09-2020,20-09-2022
RTNINDIA,453.3090000000001,81.8665929358642,0.01,7.5,20-09-2020,20-09-2022,20-09-2018,20-09-2020
RTNINDIA,708.1580000000001,969.5575331282852,0.01,8.3,20-09-2018,20-09-2020,20-09-2016,20-09-2018
RTNINDIA,619.085,419.0863707997248,0.01,9.5,20-09-2016,20-09-2018,20-09-2014,20-09-2016
RTNINDIA,628.2570000000001,463.84450240866005,0.01,6.300000000000001,20-09-2014,20-09-2016,20-09-2012,20-09-2014
