symbol,tprofit,cprofit,fstp,ftrgt,fdate,tdate,fdate_trgt_stp,tdate_trgt_stp
TATAMOTORS,69.29000000000002,1.9805986479356392,0.01,8.1,20-09-2022,20-09-2024,20-09-2020,20-09-2022
TATAMOTORS,111.36200000000004,2.97551793286278,0.01,6.9,20-09-2020,20-09-2022,20-09-2018,20-09-2020
TATAMOTORS,159.81000000000006,4.7887746996254,0.01,4.5,20-09-2018,20-09-2020,20-09-2016,20-09-2018
TATAMOTORS,138.08800000000002,3.894705794364874,0.01,6.4,20-09-2016,20-09-2018,20-09-2014,20-09-2016
