symbol,tprofit,cprofit,fstp,ftrgt,fdate,tdate,fdate_trgt_stp,tdate_trgt_stp
SUZLON,214.71400000000008,8.200633017923838,0.01,5.2,20-09-2022,20-09-2024,20-09-2020,20-09-2022
SUZLON,331.82900000000006,25.61218007806939,0.01,42.1,20-09-2020,20-09-2022,20-09-2018,20-09-2020
SUZLON,713.907,1010.476901332574,0.01,9.9,20-09-2018,20-09-2020,20-09-2016,20-09-2018
SUZLON,156.81800000000004,4.654286559346308,0.01,11.0,20-09-2016,20-09-2018,20-09-2014,20-09-2016
SUZLON,0.0,1.0,0.0,0.0,20-09-2018,20-09-2020,20-09-2016,20-09-2018
