symbol,tprofit,cprofit,fstp,ftrgt,fdate,tdate,fdate_trgt_stp,tdate_trgt_stp
IRCTC,18.595,1.1746402558489926,0.16,15.4,20-09-2022,20-09-2024,20-09-2020,20-09-2022
IRCTC,65.66500000000002,1.7731168590956259,0.76,12.3,20-09-2020,20-09-2022,20-09-2018,20-09-2020
