symbol,tprofit,cprofit,fstp,ftrgt,fdate,tdate,fdate_trgt_stp,tdate_trgt_stp
ADANIENT,45.937,1.4971314431724938,2.67,47.8,01-01-2022,01-01-2023,01-01-2020,01-01-2022
ADANIENT,142.302,3.2159125443545804,2.67,47.8,01-01-2022,01-01-2024,01-01-2020,01-01-2022
ADANIENT,100.565,2.210662945408651,2.67,49.900000000000006,01-01-2023,01-01-2024,01-01-2021,01-01-2023
ADANIENT,39.838,1.3511619237045005,8.22,47.8,01-01-2021,01-01-2022,01-01-2019,01-01-2021
ADANIENT,76.036,1.89364595605465,8.68,44.400000000000006,01-01-2020,01-01-2021,01-01-2018,01-01-2020
ADANIENT,-27.129,0.7339370027071453,6.32,47.6,01-01-2019,01-01-2020,01-01-2017,01-01-2019
ADANIENT,14.095999999999993,1.0652371228109077,4.6000000000000005,20.6,01-01-2018,01-01-2019,01-01-2016,01-01-2018
